exp_id,DOW,ST,ET,DOY
1,Wed,8.5,9,2018-10-24
2,Wed,9,9.5,2018-10-24
3,Wed,9.5,10,2018-10-24
4,Wed,10,10.5,2018-10-24
5,Wed,10.5,11,2018-10-24
6,Mon,8,8.5,2018-10-25
7,Mon,8.5,9,2018-10-25
8,Mon,9,9.5,2018-10-25
9,Mon,9.5,10,2018-10-25
10,Mon,10,10.5,2018-10-25
11,Tue,8,8.5,2018-10-30
12,Tue,8.5,9,2018-10-30
13,Tue,9,9.5,2018-10-30
14,Tue,9.5,10,2018-10-30
15,Tue,10,10.5,2018-10-30
16,Thu,8,8.5,2018-11-01
17,Thu,8.5,9,2018-11-01
18,Thu,9,9.5,2018-11-01
19,Thu,9.5,10,2018-11-01
20,Thu,10,10.5,2018-11-01
